"data_id","language","form","age","gender","mom_ed","comprehension","production"
88729,"English (British)","TEDS Twos",24,"Male","Primary",74,74
88730,"English (British)","TEDS Twos",24,"Male","Primary",82,82
88731,"English (British)","TEDS Twos",24,"Male","Graduate",24,24
88732,"English (British)","TEDS Twos",24,"Male","Graduate",22,22
88733,"English (British)","TEDS Twos",24,"Female","None",56,56
88734,"English (British)","TEDS Twos",24,"Female","None",59,59
88735,"English (British)","TEDS Twos",24,"Female","Graduate",67,67
88736,"English (British)","TEDS Twos",23,"Female","Graduate",50,50
88737,"English (British)","TEDS Twos",24,"Male","College",35,35
88738,"English (British)","TEDS Twos",24,"Male","College",33,33
88739,"English (British)","TEDS Twos",24,"Female","Secondary",100,100
88740,"English (British)","TEDS Twos",24,"Female","Secondary",72,72
88741,"English (British)","TEDS Twos",24,"Male","Primary",92,92
88742,"English (British)","TEDS Twos",24,"Male","Primary",25,25
88743,"English (British)","TEDS Twos",24,"Female","Primary",97,97
88744,"English (British)","TEDS Twos",24,"Male","Primary",100,100
88745,"English (British)","TEDS Twos",23,"Female","Secondary",57,57
88746,"English (British)","TEDS Twos",23,"Female","Secondary",52,52
88747,"English (British)","TEDS Twos",24,"Female","Some Secondary",69,69
88748,"English (British)","TEDS Twos",24,"Female","Some Secondary",67,67
88749,"English (British)","TEDS Twos",24,"Female","Some Secondary",75,75
88750,"English (British)","TEDS Twos",24,"Female","Some Secondary",77,77
88751,"English (British)","TEDS Twos",24,"Female","Some Secondary",87,87
88752,"English (British)","TEDS Twos",23,"Female","Some Secondary",79,79
88753,"English (British)","TEDS Twos",24,"Male","Some Secondary",43,43
88754,"English (British)","TEDS Twos",24,"Male","Some Secondary",56,56
88755,"English (British)","TEDS Twos",24,"Male","Primary",46,46
88756,"English (British)","TEDS Twos",24,"Female","Primary",70,70
88757,"English (British)","TEDS Twos",24,"Female","Primary",55,55
88758,"English (British)","TEDS Twos",24,"Female","Primary",52,52
88759,"English (British)","TEDS Twos",24,"Male","Primary",82,82
88760,"English (British)","TEDS Twos",24,"Male","Primary",82,82
88761,"English (British)","TEDS Twos",24,"Female","College",44,44
